clientAddress,mean_interevent_gap,median_interevent_gap,cv_interevent_gap,burstiness_proxy,n_gaps
0x00d69eaf25a939a2e8db6238c9ea055ca9633571,15.0,15.0,0.0,-1.0,1
0x0196656b3ab87029e66e186cec3685000b00b2bb,37338.5,37338.5,0.8036343184648553,-0.10887222510951072,2
0x02c762a8d9f8df0cecc237a7e3125dc15c2f98c9,13508.0,13508.0,0.0,-1.0,1
0x0541b20a575347d0b78eda60b575105540530535,13499.0,13499.0,0.0,-1.0,1
0x076775d9d67f39190a6c5655f23c6537f5ff1b00,8547.4,5690.0,1.274132063451211,0.1205435989654838,5
0x09310046ee674ac90c0174f0f5f78d92de143b29,13538.0,13538.0,0.0,-1.0,1
0x095dd36b382740cbf7ed27ea2f53b2ccdced0e2b,8.0,8.0,0.0,-1.0,1
0x0bd89d50ae8067aaf882428330288014d1858ec7,984.1,60.5,2.603328696348942,0.44495765761627804,10
0x0e8ae3fb479192ccc294be535e8d49151bbf4920,13504.0,13504.0,0.0,-1.0,1
0x0eacda5a36fba2d4dada0b4c71f52bb8148a3bd5,10.0,10.0,0.0,-1.0,1
0x0ebba5c1a7aefb822e2576d1d0391683f3c6f4f1,2.0,2.0,0.0,-1.0,1
0x12a5f14360e82c8c06fccabe60ed0cc096aba5fe,5.0,5.0,0.0,-1.0,1
0x130e90223aa47b1a046cbb1f6f27ea98e139ee30,322.33776595744683,24.0,5.739011624076097,0.7032205742375173,376
0x13a6d4b1daf00b8cc466179175550222b2719be7,3.0,3.0,0.0,-1.0,1
0x16f5fda2f7829690d4bdc93286493b9bec1bbb4d,44038.0,44038.0,0.0,-1.0,1
0x18194459186272fe99a8552bb14957f9e61d1876,39.0,39.0,0.0,-1.0,1
0x1d23f14f6605c97a87734ef3c3ad7f39d5336b7c,301.0,301.0,0.0,-1.0,1
0x1d689b04a91aaf5dc405e6f9a9b0c072982dcdc4,2.0,1.5,1.4281014264436984,0.17631117950073202,38
0x1e0e1e9fecef3b945dbb61ae61d27333c1b3acc8,13586.0,13586.0,0.0,-1.0,1
0x1e2aaf59f027c71fd047bbfe7e0ebe06a9b18a04,810.0,810.0,0.7888888888888889,-0.11801242236024845,2
0x1f2e3a299715c95ad85721ed314543144ca65c89,15.0,15.0,0.8666666666666667,-0.07142857142857142,2
0x213eaae57372a8a883a0850492ef1ee4b2865b74,301.0,301.0,0.0,-1.0,1
0x232cebb2b68b72eee1b4459dc912a573d80d9854,7.0,7.0,0.0,-1.0,1
0x2674d6578c95e6191cffa2b2c234a2bba626a323,13518.0,13518.0,0.0,-1.0,1
0x2aab9d90d9438fdcb02ed419844e96b04ebb876a,90.0,90.0,0.0,-1.0,1
0x2c0738b2a76f503497c9a994728056110a768756,1115.3333333333333,77.0,2.4018091219982844,0.4120775363124537,9
0x2d3cd6a4642850c970de07f957a09962829bf177,228644.0,228644.0,0.0,-1.0,1
0x3294e282f278872f8bb604b393eb0635ef918936,13510.0,13510.0,0.0,-1.0,1
0x33e4177d04b23862489c5adf2549c2b838ababd0,13.0,13.0,0.0,-1.0,1
0x34630a13477d49ce72e87d28dc7808e77f3bf131,5.0,5.0,0.0,-1.0,1
0x34df80f78f2c35f7be498485c05172e4f2b0c36b,8.0,8.0,0.0,-1.0,1
0x3700148cbfbdd60885d4b5a16992b285670062b4,2480.0,2480.0,0.0,-1.0,1
0x3752aca27576bc341446eaf3ce5d60b79c1c0085,29.0,29.0,0.0,-1.0,1
0x3820e04f4d00a06338b66e9a1c67bc13b7d069d5,0.0,0.0,,,1
0x3aa81ac8b6c9f819d26eb80f1613d8683e8b902a,113.0,113.0,0.0,-1.0,1
0x42392e46a5ef600d36782f69edd02d4e41d45e3d,224.0,224.0,0.0,-1.0,1
0x424f51edae3d13507ce22977f3a2bba7dc71096f,7.0,7.0,0.0,-1.0,1
0x46946123ea638cb01020cf319270875b0b82baff,1239.625,65.5,2.2745688268125064,0.3892325659415694,8
0x47e8df9a7a7203522bfccd54752b0d384223b2df,300.0,300.0,0.0,-1.0,1
0x4930ebbc5a8a9c63a021f33714867cac0339783c,10.4,1.0,1.6672089847456342,0.2501524959467188,5
0x4a6370dc13a9a5e63bd4edaa15bbfbf3438f82a5,6.0,6.0,0.0,-1.0,1
0x4da03bac6a00db44ae93dbef75f49a7c11405f22,1094.5555555555557,90.0,2.470210421459918,0.42366607291825265,9
0x4ea0b92fd24eb89988c33de77c69e3477df709f9,10.5,10.5,0.9047619047619048,-0.05,2
0x52ce108ae72712929fd2b8c6177a9b39e0ccf644,15.0,15.0,0.0,-1.0,1
0x533d4d59ede3088c4f58616ddd6eeea721d671f2,50856.0,50856.0,0.0,-1.0,1
0x590fd18ad67bdb7b947e3156ed20214c061e561f,62.5,62.5,0.76,-0.13636363636363635,2
0x5aafd21db965587622963f05713d088bd62a76f1,1004.7,141.0,2.5428902913638023,0.43548915277584876,10
0x5e9c05b697b859dd6230652eff3a24ac70a42e5d,995.3,84.5,2.569844366114496,0.43975148637170197,10
0x5ee75a1b1648c023e885e58bd3735ae273f2cc52,70.0,70.0,0.0,-1.0,1
0x5fd8fc6443d060639b4d4ea7b5867b091cb77656,299.0,299.0,0.0,-1.0,1
0x635843f9914d17b3b33f2961052f8b19c5760eed,778.5,778.5,0.8497109826589595,-0.08125,2
0x64782538bc421fbb73bf4c7b444b774ef8c04b5f,6784.5,6784.5,0.9997052104060726,-0.0001474165253924965,2
0x64bead962c501e961833621ca5d9209231ccdff8,1113.0,157.0,2.4182818658310237,0.41491074215034723,9
0x6eb9b0c5bf56f10be7bd7f9665937ba2f650a69c,43205.0,43205.0,0.0,-1.0,1
0x6f3ff71ec4fc5c6ef9121f8e0ce49505a6fcb4e1,13506.0,13506.0,0.0,-1.0,1
0x6fb4e5f10976d8463c13dfb3779ee7b6f56e9535,27925.0,27925.0,0.0,-1.0,1
0x724e4b3b379e17e352f95ef520a19cf3b9905fd7,7113.4,32.0,1.9883416221793455,0.3307324754452154,5
0x7a0059a050bd58e5a9bd67695856cbdfa18f4018,15.5,15.5,0.2903225806451613,-0.55,2
0x7d29a10bb6cdb1847d152e1db3d5375ccb76c5dc,72.0,72.0,0.0,-1.0,1
0x7d9d1821d15b9e0b8ab98a058361233e255e405d,8132.0,8132.0,0.0,-1.0,1
0x7f84de91b5cf90b19c35a84be66a53da23daf1e6,780.1818181818181,26.0,3.0210980861263796,0.5026234234622594,11
0x8224c0303c587fdadfc2dd22be75c9af74c87008,43201.0,43201.0,0.0,-1.0,1
0x8495f9ebeb3aa7b39b21f6650a1029f54b211d5f,23.0,23.0,0.0,-1.0,1
0x855212afe5823fcbf3d92902304c2c55e3e42076,50.0,50.0,0.58,-0.26582278481012656,2
0x89c163d7624186e0f9a3b25efc275b57b9a28022,4017.0,4017.0,0.0,-1.0,1
0x8a24eaf2fdb93a1b63f9be69292d77a62bc125fc,989.2,91.0,2.592934167600095,0.44335189382668194,10
0x8a3b6b73f71d0530577729aa8bd7d853b18c1a4d,14.0,14.0,0.0,-1.0,1
0x8fc642d66492c830da43d95da7fe3f027f4f3246,31.0,31.0,0.0,-1.0,1
0x90872f4f373fa502078f84c9870e5a5452b1ac11,108.0,62.0,1.032480067198993,0.015980509586868703,5
0x9725899ddd12ecb314fd726e15a1f40815a20062,2.875,2.0,0.7262301342821769,-0.15859407171782786,8
0x9a1603dd4e0cc99726497cc433f5c746bf4f5177,1139.5,1139.5,0.9973672663448881,-0.0013181019332161687,2
0x9be6e220bce4fa00102dde0cdf9e880cfb14a3ea,74.5,74.5,0.8926174496644296,-0.05673758865248227,2
0x9e21d5c0978ab3a28b9af9ea85e09b6818ad7b42,61.0,61.0,0.0,-1.0,1
0x9ecdb7eba66a60503f84e503203e119ae23bf057,13509.0,13509.0,0.0,-1.0,1
0xa35308e4ca646fea1488838147a2c0ec18eec6dc,1091.6666666666667,107.0,2.4622797770292295,0.42234593135160275,9
0xa364b2567cd7e1f64928539d6af119cb4b479f6c,13505.0,13505.0,0.0,-1.0,1
0xa64d893f83b22a3a99c84f883f53ce1d8c75cd5b,28052.0,28052.0,0.0,-1.0,1
0xa8cc612ecb2e853d3a882b0f9cf5357c2d892adb,7972.0,7972.0,0.0,-1.0,1
0xaa8c336ff3f882b8de3d3bdf9c1def68c55db5ba,12.0,12.0,0.0,-1.0,1
0xab0b2d97b6ab1d0a16d8834a162098ce78da137b,99.2542372881356,0.0,16.759990084461737,0.8873873245149048,295
0xac97563261c03369724ddc420d747a74fab60841,128.0,128.0,0.0,-1.0,1
0xadd403400485118bd58a4032b5ff5aa1e716e0f6,13503.0,13503.0,0.0,-1.0,1
0xb3ddd140e57e16528d739dac6dc44cca69de5cd9,13510.0,13510.0,0.0,-1.0,1
0xb506c02f6b5b84e630e21b56347f2ec1a293b29f,4.0,4.0,0.0,-1.0,2
0xb76702f811e7ce7241a4c0cba7ccf7c372ef23de,299.0,299.0,0.0,-1.0,1
0xb833114b7450c1909abf20cb9da4713f6e8d9046,4943.0,4943.0,0.0,-1.0,1
0xb8b7d1d56d7ec058f61dde470e08048ebf93b80a,13566.0,13566.0,0.0,-1.0,1
0xb9282875c11963e116fff908443c110ca80ed9c6,13514.0,13514.0,0.0,-1.0,1
0xc04034931cbc27c449a3f35319bf1c5137011b75,50461.0,50461.0,0.0,-1.0,1
0xc08fec00255ced32a75f4df79a4063e49cb5a26e,17.0,17.0,0.0,-1.0,1
0xc56d18dff6215b1eaded92f7b50a9681675d7ebf,14.0,14.0,0.0,-1.0,1
0xca3fce307035c3a7c89018601cde173274d1b326,13564.5,326.0,2.003203655940818,0.3340444974340387,12
0xcc05fbe0cc01dd2ebfd60f91f1050d0aeab1cf78,7.0,7.0,0.0,-1.0,1
0xcc9e262ea17caaf35cf59e6b1bb778bb26e6c6b8,162129.0,162129.0,0.0,-1.0,1
0xce54178868a0f9de2be19181d733f626ff7cceec,4.0,3.5,0.5303300858899106,-0.30690758708894433,4
0xcf8605bb30fca6c8d7a4c71d7f300399e93c9537,13.0,13.0,0.0,-1.0,1
0xd0a72403f2647849a5ab36e20d1f5a3130451fcf,11.0,11.0,0.0,-1.0,1
0xd448777940dfabf65fd259fa8a9903e60e1ff178,12984.0,12984.0,0.9718114602587801,-0.014295758143895007,2
0xdfd59b339c29acf1811cc85469e6cf13429d4d8c,10328.666666666666,3371.5,1.289882827607345,0.1265928649765185,6
0xe47a31554ba238e3e8d1a4a6844da727b8cbfb44,27.0,27.0,0.0,-1.0,1
0xe8288a253c08d404a50442c4c90695367f04d7d6,32.0,32.0,0.0,-1.0,1
0xe87498d2434ac336a5d211a8b43bb926e8fcd777,3.0,3.0,0.0,-1.0,1
0xeb83641c61754c0ca3d73c47f5d86a75ed083269,4672.0,4672.0,0.0,-1.0,1
0xef26f2cc1f1cdee11d106ee3cb5dfab6f075d645,1400.857142857143,68.0,2.134412397447166,0.36192187038664486,7
0xf17b5dd382b048ff4c05c1c9e4e24cfc5c6adad9,3.2,2.0,0.667317390751957,-0.19953166151407073,10
0xf18b3277bb7c522a5ca9a6cda1b7d181205b1d41,9.0,9.0,0.0,-1.0,1
0xf257c3fcb8bbbe6bd4670253eedc577b2c2b36fe,7.666666666666667,7.0,0.3253615118933862,-0.5090222418959777,3
0xf36bb95548ae036b8add44f94cd0d01316825a20,12517.75,14.5,1.746095703366614,0.2716932634401371,8
0xf5a319b5158293ee66487d0810652bebf5e0f668,28.0,28.0,0.0,-1.0,1
0xf653068677a9a26d5911da8abd1500d043ec807e,138.6490939044481,4.0,32.22557650920737,0.9398054086602301,1214
0xf89009ceb2dee053453b87d240e7ac5104a703b3,34809.0,34809.0,0.35373035709155676,-0.47739909171936673,2
0xf9d1d63f362bbf1ee08ab9acb36fe74afc48d5f1,975.4,6.0,1.9188037695679192,0.3147877836624601,5
0xfac7c99cd020c930d67c9085c4a31729687e9422,5468.0,5468.0,0.0,-1.0,1
0xfd280fbff240b38c9b3637602b0073c2b20ef06b,13421.0,13421.0,0.0,-1.0,1
0xfd3b50bb02d9ef01c36703e49d050dfc3f5b3690,6.0,6.0,0.0,-1.0,1
0xfe8cc72d95633e3a40cf3d221a609ef0c4807745,4.0,4.0,0.0,-1.0,1
0xffebcfd2b3f4129403c2787829f0a07a92e6d296,471.25,3.0,1.722250507415242,0.2653137561910178,4
